time (us),x (mdps),y (mdps),z(mdps)
1759266320283682,1338.75,-516.25,262.5,
1759266320286214,1505,-551.25,122.5,
1759266320288886,1706.25,-682.5,568.75,
1759266320291594,1986.25,-1041.25,778.75,
1759266320294161,1312.5,-1058.75,875,
1759266320296639,1601.25,-892.5,813.75,
1759266320299160,1321.25,-691.25,1032.5,
1759266320301592,1006.25,-717.5,857.5,
1759266320304159,1023.75,-630,1023.75,
1759266320306897,901.25,-665,857.5,
1759266320309426,1172.5,-848.75,971.25,
1759266320312080,1286.25,-866.25,892.5,
1759266320314706,1041.25,-866.25,1050,
1759266320317251,1531.25,-778.75,1067.5,
1759266320319798,1242.5,-988.75,1023.75,
1759266320322495,1163.75,-1050,883.75,
1759266320325048,831.25,-787.5,708.75,
1759266320327590,866.25,-883.75,1093.75,
1759266320330155,831.25,-761.25,787.5,
1759266320332803,1216.25,-1303.75,743.75,
1759266320335470,1050,-1137.5,953.75,
1759266320338191,1085,-1268.75,551.25,
1759266320341209,1303.75,-1172.5,612.5,
1759266320344331,1645,-1522.5,253.75,
1759266320347044,1496.25,-1505,315,
1759266320349794,1198.75,-1627.5,323.75,
1759266320352450,866.25,-1408.75,236.25,
1759266320355343,1041.25,-1478.75,8.75,
1759266320358118,910,-1076.25,175,
1759266320360921,752.5,-1102.5,271.25,
1759266320363751,787.5,-717.5,315,
1759266320366596,770,-787.5,367.5,
1759266320369489,700,-980,778.75,
1759266320372524,525,-656.25,927.5,
1759266320375492,341.25,-638.75,901.25,
1759266320378233,603.75,-682.5,796.25,
1759266320380913,481.25,-498.75,647.5,
1759266320383642,131.25,-577.5,402.5,
1759266320386513,87.5,-647.5,297.5,
1759266320389535,542.5,-708.75,350,
1759266320392892,315,-280,306.25,
1759266320395752,385,-420,17.5,
1759266320398665,577.5,-770,-70,
1759266320401640,1102.5,-647.5,122.5,
1759266320404664,1015,-717.5,35,
1759266320408239,1058.75,-621.25,17.5,
1759266320411068,656.25,-463.75,131.25,
1759266320413606,1076.25,-568.75,350,
1759266320416278,840,-411.25,131.25,
1759266320419056,822.5,-271.25,122.5,
1759266320422056,638.75,-323.75,420,
1759266320425052,945,-210,516.25,
1759266320427776,603.75,-271.25,455,
1759266320430446,201.25,-201.25,271.25,
1759266320433280,516.25,-323.75,0,
1759266320436082,428.75,8.75,183.75,
1759266320438911,490,-157.5,-201.25,
1759266320441902,630,0,8.75,
1759266320444732,822.5,-332.5,-227.5,
1759266320447567,726.25,-297.5,-96.25,
1759266320450398,700,-682.5,43.75,
1759266320453130,1076.25,-927.5,148.75,
1759266320455943,1216.25,-463.75,-113.75,
1759266320458895,1041.25,-717.5,-78.75,
1759266320461604,1408.75,-691.25,-35,
1759266320464395,1303.75,-813.75,-61.25,
1759266320467224,1496.25,-953.75,218.75,
1759266320469990,1636.25,-1216.25,-61.25,
1759266320473008,1382.5,-1111.25,0,
1759266320476003,1548.75,-1023.75,140,
1759266320478593,1356.25,-787.5,577.5,
1759266320481209,1085,-1006.25,507.5,
1759266320484125,953.75,-603.75,822.5,
1759266320486803,910,-691.25,708.75,
1759266320489460,918.75,-577.5,1233.75,
1759266320492117,840,-857.5,971.25,
1759266320494657,822.5,-1067.5,1251.25,
1759266320497308,857.5,-1155,1233.75,
1759266320500046,988.75,-1155,1093.75,
1759266320502583,875,-1015,1111.25,
